,AUT,BEL,BGR,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MLT,NLD,POL,PRT,ROU,SVK,SVN,SWE
FRA,859.5569620253175,850.4659433393609,980.8464135021097,802.8565400843888,801.1790235081368,841.4607067510565,888.2613019891495,906.6033040120136,909.2350813743212,848.2902350813735,822.2610158628494,688.5232067510527,857.0369198312229,754.411693791438,915.120740019475,756.482178547636,914.5040276179515,1001.5991561181502,895.13765822785,853.8481012658235,821.4744652989954,821.5097370983456,927.9138034960811,883.4319140774824,831.2676311030738,994.8876582278492,848.6112115732356
GRC,742.2756892230535,729.8775510204097,853.9047619047661,726.8174603174597,681.4648526077086,724.7881944444441,765.4013605442198,785.0742534301841,777.1632653061249,729.0612244897962,688.5232067510527,632.1383219954668,741.7023809523818,660.4648526077054,788.0183150183185,649.8558897243119,789.6753246753245,868.2063492063489,772.1726190476178,754.2777777777841,704.799671592774,703.9972527472547,805.1678004535188,774.7373737373729,719.2006802721112,857.1785714285701,725.1859410430853
HRV,929.4780701754448,912.5277777777766,1076.9444444444475,868.6388888888919,869.9682539682537,908.8437499999993,959.0892857142859,983.5918079096036,993.559523809522,914.3809523809526,857.0369198312229,741.7023809523818,966.0763888888981,823.8174603174564,981.5897435897376,820.3157894736828,998.1136363636313,1084.6388888888926,974.28125,935.8611111111159,891.8534482758599,903.6618589743541,1003.8214285714264,978.2222222222226,903.5654761904773,1089.9791666666645,920.1230158730178
HUN,819.7794486215531,804.4852607709645,961.4571428571471,776.5238095238066,781.2358276643909,796.150297619047,844.5952380952268,859.2574656981465,862.9455782312784,798.1190476190375,754.411693791438,660.4648526077054,823.8174603174564,818.4829931972652,854.9450549450613,720.52882205514,879.8441558441554,944.3492063492059,870.7559523809573,832.7380952380838,783.8013136289001,817.199633699635,874.2403628117795,857.1082251082282,808.4557823129134,954.0952380952457,809.7482993197186
IRL,986.1214574898765,980.5238095238117,1128.4153846153818,927.6025641025591,926.1575091575147,979.2828525641031,1032.7307692307668,1053.2829204693617,1054.395604395599,982.0329670329639,915.120740019475,788.0183150183185,981.5897435897376,854.9450549450613,1096.9467455621327,854.878542510123,1062.6783216783315,1164.8974358974303,1032.7788461538426,989.4358974358948,953.4429708222829,941.0221893491122,1080.1135531135628,1025.3473193473196,953.0604395604375,1145.8942307692284,990.8974358974384
ITA,816.0505540166184,805.5256892230597,940.3438596491217,756.5328947368408,769.6654135338356,795.3548519736837,842.141917293235,857.111953612847,867.6842105263165,803.0300751879699,756.482178547636,649.8558897243119,820.3157894736828,720.52882205514,854.878542510123,755.7676592797807,869.5717703349261,943.8706140350865,848.9407894736834,813.7039473684207,783.4877495462808,802.7644230769229,874.8038847117783,847.7073365231257,792.8815789473699,947.6726973684192,810.8045112781957
LTU,997.5789473684285,985.038961038958,1156.9636363636348,923.0303030303022,941.6580086580065,984.5719696969695,1034.0779220779225,1059.7904468412896,1069.7792207792231,987.3636363636361,914.5040276179515,789.6753246753245,998.1136363636313,879.8441558441554,1062.6783216783315,869.5717703349261,1092.7685950413347,1174.4242424242466,1049.5795454545407,1000.3030303030226,960.771159874611,971.5681818181795,1082.225108225111,1050.7988980716295,968.6103896103891,1170.7045454545475,996.3722943722933
LUX,1091.8859649122878,1077.5714285714278,1249.8666666666581,1006.916666666671,1014.2777777777786,1073.5381944444434,1135.9285714285695,1161.612994350283,1166.1904761904664,1082.9999999999993,1001.5991561181502,868.2063492063489,1084.6388888888926,944.3492063492059,1164.8974358974303,943.8706140350865,1174.4242424242466,1315.3055555555452,1135.2916666666674,1091.194444444457,1048.6724137931014,1039.698717948712,1186.9126984127083,1138.6010101010058,1052.7499999999986,1271.7500000000016,1089.0793650793687
LVA,972.7434210526397,959.5297619047637,1130.1500000000003,902.7291666666671,914.4880952380952,954.3684895833329,1005.589285714288,1030.0466101694974,1036.0000000000034,959.8750000000019,895.13765822785,772.1726190476178,974.28125,870.7559523809573,1032.7788461538426,848.9407894736834,1049.5795454545407,1135.2916666666674,1048.578125,976.7083333333346,932.4913793103412,948.7596153846139,1051.5773809523894,1015.4356060606117,945.4375000000001,1136.09375,965.3988095238129
MLT,933.9210526315809,916.0158730158706,1083.3777777777848,895.5555555555595,866.0079365079357,911.5989583333337,965.3452380952298,987.9943502824899,987.047619047603,916.8809523809525,853.8481012658235,754.2777777777841,935.8611111111159,832.7380952380838,989.4358974358948,813.7039473684207,1000.3030303030226,1091.194444444457,976.7083333333346,999.6111111111238,892.321839080456,893.0544871794775,1012.6825396825359,980.7020202020141,907.6428571428544,1089.458333333334,922.436507936503
NLD,894.0998185118023,885.8538587848941,1027.5816091954011,823.1264367816024,844.8407224958956,881.2252155172399,936.1970443349741,948.3781414377542,955.6847290640362,887.147783251232,821.4744652989954,704.799671592774,891.8534482758599,783.8013136289001,953.4429708222829,783.4877495462808,960.771159874611,1048.6724137931014,932.4913793103412,892.321839080456,875.7003567181933,865.1598143236092,967.07881773399,931.8108672936232,866.5960591132982,1039.7025862068917,902.750410509031
POL,894.842105263159,886.6401098901115,1049.1051282051285,821.4711538461518,869.2142857142866,877.8774038461552,927.1140109890075,943.2288135593204,957.4423076923033,882.0947802197794,821.5097370983456,703.9972527472547,903.6618589743541,817.199633699635,941.0221893491122,802.7644230769229,971.5681818181795,1039.698717948712,948.7596153846139,893.0544871794775,865.1598143236092,939.48927514793,959.8406593406613,939.5874125874142,879.4478021977998,1050.4615384615374,900.1813186813215
PRT,1006.1553884711788,994.9750566893399,1152.3396825396856,942.4920634920667,936.0748299319721,990.9335317460309,1047.047619047614,1072.6795803066987,1074.0748299319707,996.8061224489766,927.9138034960811,805.1678004535188,1003.8214285714264,874.2403628117795,1080.1135531135628,874.8038847117783,1082.225108225111,1186.9126984127083,1051.5773809523894,1012.6825396825359,967.07881773399,959.8406593406613,1108.4444444444398,1049.0331890331877,971.4965986394518,1173.6666666666777,1003.4648526077065
ROU,965.8931419457778,952.6089466089469,1129.0424242424249,908.6060606060609,910.0966810966816,952.3566919191912,1002.2489177489211,1031.1956856702614,1037.5757575757618,957.6428571428545,883.4319140774824,774.7373737373729,978.2222222222226,857.1082251082282,1025.3473193473196,847.7073365231257,1050.7988980716295,1138.6010101010058,1015.4356060606117,980.7020202020141,931.8108672936232,939.5874125874142,1049.0331890331877,1044.2277318640913,942.313852813849,1139.405303030317,965.2150072150108
SVK,901.3195488721797,890.3265306122438,1046.247619047616,840.0595238095226,853.0850340136024,882.1629464285705,935.9642857142837,953.3510895883802,960.9387755101966,888.9489795918347,831.2676311030738,719.2006802721112,903.5654761904773,808.4557823129134,953.0604395604375,792.8815789473699,968.6103896103891,1052.7499999999986,945.4375000000001,907.6428571428544,866.5960591132982,879.4478021977998,971.4965986394518,942.313852813849,897.9591836734633,1055.0714285714312,898.0850340136005
SVN,1082.1578947368455,1064.2202380952376,1256.1750000000015,997.249999999999,1017.0535714285743,1062.2044270833346,1122.0000000000036,1148.8855932203446,1161.0357142857163,1068.839285714288,994.8876582278492,857.1785714285701,1089.9791666666645,954.0952380952457,1145.8942307692284,947.6726973684192,1170.7045454545475,1271.7500000000016,1136.09375,1089.458333333334,1039.7025862068917,1050.4615384615374,1173.6666666666777,1139.405303030317,1055.0714285714312,1293.890625,1077.7500000000027
SWE,926.2205513784448,919.1882086167767,1062.0349206349254,846.849206349207,882.9365079365059,915.1468253968263,979.7312925170033,982.9459241323643,993.9659863945515,923.986394557819,848.6112115732356,725.1859410430853,920.1230158730178,809.7482993197186,990.8974358974384,810.8045112781957,996.3722943722933,1089.0793650793687,965.3988095238129,922.436507936503,902.750410509031,900.1813186813215,1003.4648526077065,965.2150072150108,898.0850340136005,1077.7500000000027,964.8684807256169
